Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
184,Arizona,2024-01-01,2101.00,16.00,3935.00,0.00,817.67,0.00,51.19,0.00,7.00,7359197.00,4116.00
185,Arizona,2024-01-08,1333.00,167.00,3163.00,0.00,365.09,0.00,54.56,0.00,1.00,7359197.00,588.00
186,Arizona,2024-01-15,917.00,972.00,2700.00,0.00,264.47,2.92,51.86,0.00,1.00,7359197.00,588.00
187,Arizona,2024-01-22,906.00,338.00,9517.00,0.00,333.14,30.10,48.21,0.00,3.00,7359197.00,1764.00
188,Arizona,2024-01-29,927.00,301.00,4769.00,0.00,349.35,10.04,50.53,0.00,11.00,7359197.00,6468.00
189,Arizona,2024-02-05,1018.00,476.00,7495.00,326.00,378.68,12.86,76.70,5.94,4.00,7359197.00,2352.00
190,Arizona,2024-02-12,1296.00,339.00,5741.00,1239.00,419.44,81.69,74.01,15.54,11.00,7359197.00,6468.00
191,Arizona,2024-02-19,1773.00,3057.00,8711.00,1035.00,492.84,40.82,79.98,8.92,3.00,7359197.00,1764.00
192,Arizona,2024-02-26,835.00,1452.00,3345.00,439.00,222.41,29.36,40.27,5.31,1.00,7359197.00,588.00
193,Arizona,2024-03-04,1292.00,2790.00,4751.00,706.00,470.36,11.62,34.98,10.61,7.00,7359197.00,4116.00
194,Arizona,2024-03-11,2171.00,1659.00,6061.00,1439.00,714.58,13.09,73.32,8.72,13.00,7359197.00,7644.00
195,Arizona,2024-03-18,1953.00,1232.00,5612.00,287.00,858.01,14.76,64.25,3.09,9.00,7359197.00,5292.00
196,Arizona,2024-03-25,1196.00,1687.00,4299.00,0.00,551.71,19.20,59.27,0.00,11.00,7359197.00,6468.00
197,Arizona,2024-04-01,608.00,1855.00,2334.00,0.00,452.56,3.68,25.02,0.00,2.00,7359197.00,1176.00
198,Arizona,2024-04-08,610.00,419.00,1732.00,0.00,306.65,0.00,19.11,0.00,1.00,7359197.00,588.00
199,Arizona,2024-04-15,644.00,642.00,1635.00,0.00,367.64,13.47,19.10,0.00,5.00,7359197.00,2940.00
200,Arizona,2024-04-22,765.00,799.00,1649.00,0.00,511.77,0.00,17.85,0.00,3.00,7359197.00,1764.00
201,Arizona,2024-04-29,805.00,1646.00,2382.00,0.00,532.24,14.47,27.80,0.00,8.00,7359197.00,4704.00
202,Arizona,2024-05-06,993.00,1823.00,2502.00,0.00,466.81,6.63,39.04,0.00,4.00,7359197.00,2352.00
203,Arizona,2024-05-13,906.00,4250.00,2371.00,0.00,618.15,20.91,36.78,0.00,6.00,7359197.00,3528.00
204,Arizona,2024-05-20,763.00,911.00,2214.00,0.00,464.33,19.37,32.17,0.00,5.00,7359197.00,2940.00
205,Arizona,2024-05-27,877.00,769.00,2036.00,0.00,493.68,42.66,32.97,0.00,3.00,7359197.00,1764.00
206,Arizona,2024-06-03,872.00,532.00,1165.00,0.00,446.84,15.59,28.38,0.00,2.00,7359197.00,1176.00
207,Arizona,2024-06-10,889.00,326.00,776.00,0.00,477.48,38.28,23.75,0.00,3.00,7359197.00,1764.00
208,Arizona,2024-06-17,900.00,430.00,1848.00,0.00,564.57,1.47,30.77,0.00,2.00,7359197.00,1176.00
209,Arizona,2024-06-24,913.00,370.00,1883.00,0.00,533.80,25.15,31.77,0.00,4.00,7359197.00,2352.00
210,Arizona,2024-07-01,896.00,1459.00,1913.00,0.00,440.91,1.14,24.55,0.00,2.00,7359197.00,1176.00
