geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
North Carolina,10/16/23,827,148,"1,354",,$311.28,$6.53,$21.27, --,2,10551162,"$1,176"
North Dakota,10/16/23,88,21,55,,$18.35,$1.32,$0.57, --,0,779702,$0
Ohio,10/16/23,734,126,"1,281",,$225.63,$22.19,$13.76, --,1,11780017,$588
Oklahoma,10/16/23,216,51,472,,$123.76,$5.46,$7.29, --,1,3986639,$588
Oregon,10/16/23,330,33,712,,$188.06,$0.00,$7.87, --,1,4237256,$588
Pennsylvania,10/16/23,979,92,"1,642",,$321.30,$3.22,$22.39, --,3,12964056,"$1,764"
Rhode Island,10/16/23,105,3,161,,$24.64,$0.00,$2.22, --,1,1098163,$588
San Francisco Bay Area,10/16/23,840,207,"2,588",,$236.91,$4.67,$31.20, --,3,7753000,"$1,764"
Silicon Valley,10/16/23,182,23,601,,$28.37,$5.00,$7.29, --,0,3137600,$0
South Carolina,10/16/23,559,60,547,,$136.84,$0.00,$9.23, --,0,5190705,$0
South Dakota,10/16/23,43,16,65,,$4.50,$0.00,$0.90, --,0,903027,$0
Tennessee,10/16/23,422,97,728,,$124.25,$11.88,$7.95, --,0,6975218,$0
Texas,10/16/23,"2,591",476,"4,342",,$797.71,$96.07,$54.55, --,2,29527941,"$1,176"
Utah,10/16/23,238,20,381,,$66.13,$0.00,$4.12, --,0,3337975,$0
Vermont,10/16/23,85,1,64,,$15.71,$0.00,$0.65, --,0,643077,$0
Virginia,10/16/23,757,282,"1,228",,$223.53,$19.20,$15.13, --,1,8642274,$588
Washington,10/16/23,"1,317",92,"1,918",,$439.72,$4.57,$25.80, --,4,7796941,"$2,352"
West Virginia,10/16/23,77,14,146,,$29.52,$0.00,$1.89, --,0,1782959,$0
Wisconsin,10/16/23,324,42,577,,$74.76,$6.68,$9.89, --,1,5893718,$588
Wyoming,10/16/23,57,2,59,,$18.42,$0.00,$0.71, --,0,577719,$0
Alabama,10/23/23,319,"2,468",428,,$148.77,$29.32,$5.69, --,1,5039877,$588
Alaska,10/23/23,123,153,96,,$22.80,$0.58,$1.14, --,0,732673,$0
Arizona,10/23/23,669,"1,565",721,,$255.96,$4.47,$9.32, --,2,7359197,"$1,176"
Arkansas,10/23/23,178,"1,558",199,,$60.33,$3.93,$2.49, --,1,3011524,$588
California,10/23/23,"33,530","9,392","5,908",,"$2,395.29",$28.39,$82.18, --,53,39538223,"$31,164"
Colorado,10/23/23,597,"1,589",659,,$288.23,$8.39,$9.48, --,1,5807719,$588
Connecticut,10/23/23,444,"1,082",383,,$138.72,$0.00,$5.47, --,2,3605597,"$1,176"
Delaware,10/23/23,97,213,152,,$33.83,$0.51,$2.47, --,1,1003384,$588
District of Columbia,10/23/23,259,623,247,,$78.95,$2.61,$6.28, --,1,689545,$588
Florida,10/23/23,"38,213","10,827","2,744",,"$1,954.19",$43.62,$47.82, --,17,21781128,"$9,996"
Georgia,10/23/23,"1,212","8,013","1,183",,$632.05,$38.98,$17.52, --,10,10711908,"$5,880"
Hawaii,10/23/23,243,"1,751",980,,$55.95,$6.83,$13.84, --,0,1455271,$0
Idaho,10/23/23,118,263,126,,$58.92,$0.00,$1.45, --,0,1839106,$0
Illinois,10/23/23,"1,311","6,646","1,719",,$556.70,$39.34,$28.83, --,8,12671469,"$4,704"
Indiana,10/23/23,476,"2,434",539,,$232.64,$2.01,$6.93, --,3,6785528,"$1,764"
Iowa,10/23/23,177,915,207,,$101.03,$0.90,$2.52, --,1,3190369,$588
Kansas,10/23/23,177,803,209,,$63.46,$2.72,$2.63, --,0,2937880,$0
Kentucky,10/23/23,269,"1,480",260,,$129.47,$12.59,$3.76, --,1,4505836,$588
Lagos,10/23/23,,2,,, --,$0.00, --, --,0,15000000,$0
Louisiana,10/23/23,"3,156","2,305",404,,$249.59,$9.46,$5.19, --,3,4657757,"$1,764"
Maine,10/23/23,132,720,123,,$47.98,$0.00,$1.77, --,1,1372247,$588
Maryland,10/23/23,703,"2,052",909,,$325.11,$21.05,$14.22, --,3,6165129,"$1,764"
Massachusetts,10/23/23,"1,584","2,857",954,,$474.28,$46.01,$13.15, --,3,6984723,"$1,764"
Michigan,10/23/23,921,"4,131",788,,$354.23,$21.49,$10.58, --,6,10077331,"$3,528"
Minnesota,10/23/23,556,"1,006",591,,$185.85,$3.63,$12.07, --,0,5706398,$0
Mississippi,10/23/23,124,"1,384",178,,$54.94,$2.63,$1.67, --,1,2949965,$588
Missouri,10/23/23,461,"2,444",500,,$239.95,$19.26,$7.95, --,1,6168187,$588
Montana,10/23/23,104,242,62,,$43.73,$0.00,$0.81, --,0,1084225,$0
Nebraska,10/23/23,137,524,162,,$58.54,$4.91,$2.10, --,2,1961504,"$1,176"
Nevada,10/23/23,438,"1,655",675,,$163.61,$3.63,$8.79, --,2,3104614,"$1,176"
New Hampshire,10/23/23,113,348,106,,$31.04,$0.79,$1.37, --,0,1388992,$0
New Jersey,10/23/23,979,"2,196","1,119",,$370.70,$7.31,$16.98, --,3,9288994,"$1,764"
New Mexico,10/23/23,151,504,169,,$39.04,$6.52,$2.81, --,1,2117522,$588
New York,10/23/23,"2,826","13,481","3,200",,"$1,118.67",$81.29,$53.47, --,8,19835913,"$4,704"
North Carolina,10/23/23,968,"4,498","1,058",,$432.21,$13.83,$18.57, --,10,10551162,"$5,880"
